item_id,category,warehouse,stock,reorder_point,unit_cost_sar,count_variance
INV-0001,Safety,North,15,32,259,1
INV-0002,Electrical,Central,58,25,333,0
INV-0003,Mechanical,South,59,29,115,0
INV-0004,Office,North,57,25,368,0
INV-0005,Safety,Central,44,21,227,0
INV-0006,Electrical,South,32,21,306,3
INV-0007,Mechanical,North,33,34,100,1
INV-0008,Office,Central,14,27,389,-1
INV-0009,Safety,South,32,12,100,0
INV-0010,Electrical,North,68,32,331,0
INV-0011,Mechanical,Central,43,35,304,0
INV-0012,Office,South,0,13,181,0
INV-0013,Safety,North,61,27,205,0
INV-0014,Electrical,Central,41,18,398,0
INV-0015,Mechanical,South,58,22,438,0
INV-0016,Office,North,65,32,458,0
INV-0017,Safety,Central,46,33,377,0
INV-0018,Electrical,South,46,22,303,0
INV-0019,Mechanical,North,54,15,206,0
INV-0020,Office,Central,39,28,117,0
INV-0021,Safety,South,66,35,216,2
INV-0022,Electrical,North,10,19,44,2
INV-0023,Mechanical,Central,15,15,279,0
INV-0024,Office,South,3,25,482,0
INV-0025,Safety,North,47,22,66,-1
INV-0026,Electrical,Central,53,17,123,3
INV-0027,Mechanical,South,7,18,89,0
INV-0028,Office,North,5,18,360,0
INV-0029,Safety,Central,35,35,88,0
INV-0030,Electrical,South,80,35,145,0
INV-0031,Mechanical,North,50,36,286,0
INV-0032,Office,Central,16,29,387,0
INV-0033,Safety,South,74,31,369,0
INV-0034,Electrical,North,36,20,447,0
INV-0035,Mechanical,Central,60,24,461,-2
INV-0036,Office,South,43,26,260,-1
INV-0037,Safety,North,22,13,183,2
INV-0038,Electrical,Central,51,32,470,0
INV-0039,Mechanical,South,17,36,393,0
INV-0040,Office,North,17,35,231,1
INV-0041,Safety,Central,56,20,134,0
INV-0042,Electrical,South,9,12,45,0
INV-0043,Mechanical,North,19,16,179,0
INV-0044,Office,Central,50,30,230,-1
INV-0045,Safety,South,7,26,267,1
INV-0046,Electrical,North,67,23,474,1
INV-0047,Mechanical,Central,78,36,141,0
INV-0048,Office,South,87,34,436,3
INV-0049,Safety,North,37,23,94,1
INV-0050,Electrical,Central,49,30,361,0
INV-0051,Mechanical,South,61,24,199,0
INV-0052,Office,North,44,36,378,0
INV-0053,Safety,Central,32,33,333,0
INV-0054,Electrical,South,87,35,147,0
INV-0055,Mechanical,North,31,17,116,0
INV-0056,Office,Central,64,13,417,1
INV-0057,Safety,South,68,25,169,0
INV-0058,Electrical,North,35,19,336,0
INV-0059,Mechanical,Central,38,32,39,0
INV-0060,Office,South,56,32,38,-1
INV-0061,Safety,North,53,31,54,0
INV-0062,Electrical,Central,20,33,361,0
INV-0063,Mechanical,South,34,25,37,0
INV-0064,Office,North,67,27,231,0
INV-0065,Safety,Central,19,36,212,0
INV-0066,Electrical,South,28,36,63,0
INV-0067,Mechanical,North,71,27,401,0
INV-0068,Office,Central,60,31,70,0
INV-0069,Safety,South,0,17,390,0
INV-0070,Electrical,North,0,16,105,0
INV-0071,Mechanical,Central,77,33,127,0
INV-0072,Office,South,10,13,83,0
INV-0073,Safety,North,15,13,243,0
INV-0074,Electrical,Central,27,31,205,2
INV-0075,Mechanical,South,37,35,191,0
INV-0076,Office,North,6,16,367,0
INV-0077,Safety,Central,44,32,447,0
INV-0078,Electrical,South,36,30,293,0
INV-0079,Mechanical,North,20,26,165,0
INV-0080,Office,Central,56,15,48,0
INV-0081,Safety,South,6,13,228,0
INV-0082,Electrical,North,21,28,325,-3
INV-0083,Mechanical,Central,59,23,241,0
INV-0084,Office,South,9,31,142,0
INV-0085,Safety,North,62,26,212,0
INV-0086,Electrical,Central,77,35,276,0
INV-0087,Mechanical,South,59,30,123,0
INV-0088,Office,North,24,25,274,0
INV-0089,Safety,Central,62,21,136,1
INV-0090,Electrical,South,4,13,419,0
INV-0091,Mechanical,North,54,29,104,-2
INV-0092,Office,Central,70,32,219,3
INV-0093,Safety,South,53,34,414,1
INV-0094,Electrical,North,38,28,144,0
INV-0095,Mechanical,Central,58,13,417,-1
INV-0096,Office,South,45,26,29,0
INV-0097,Safety,North,18,32,300,0
INV-0098,Electrical,Central,27,36,470,0
INV-0099,Mechanical,South,36,25,96,-1
INV-0100,Office,North,56,29,111,2
INV-0101,Safety,Central,54,14,74,1
INV-0102,Electrical,South,44,19,315,0
INV-0103,Mechanical,North,53,14,121,0
INV-0104,Office,Central,11,18,130,0
INV-0105,Safety,South,1,15,51,0
INV-0106,Electrical,North,25,25,23,0
INV-0107,Mechanical,Central,23,16,391,1
INV-0108,Office,South,6,28,273,0
INV-0109,Safety,North,65,25,213,0
INV-0110,Electrical,Central,43,18,431,1
INV-0111,Mechanical,South,84,32,354,0
INV-0112,Office,North,16,31,109,0
INV-0113,Safety,Central,12,30,353,-1
INV-0114,Electrical,South,42,36,425,0
INV-0115,Mechanical,North,32,12,212,0
INV-0116,Office,Central,69,20,374,2
INV-0117,Safety,South,53,30,457,0
INV-0118,Electrical,North,44,12,347,-1
INV-0119,Mechanical,Central,20,19,134,0
INV-0120,Office,South,23,32,452,0
